Symbol,Security Name,Market Category,Trigger Time
CRBP,Corbus Pharma Hlds Cmn,Q,2/2/2021 9:58:20 AM
BCRX,"BioCryst Pharmaceuticals, Inc.",Q,2/2/2021 10:01:43 AM
SNRHW,Senior Connect Acquisition Cor,R,2/2/2021 10:07:30 AM
EBIX,"Ebix, Inc.",Q,2/2/2021 10:10:10 AM
XSPA,"XpresSpa Group, Inc. ",R,2/2/2021 10:10:36 AM
OPK,"OPKO Health, Inc. Cmn Stk",Q,2/2/2021 10:10:40 AM
BENEW,Benessere Capital Acquisition,R,2/2/2021 10:10:49 AM
NDRAW,ENDRA Life Sciences Inc. WT,R,2/2/2021 10:13:40 AM
NLSP,NLS Pharmaceutics Ltd Ord Shs,R,2/2/2021 10:15:10 AM
BRLIR,Brilliant Acquisition Corp RT,R,2/2/2021 10:22:19 AM
FLGT,"Fulgent Genetics, Inc. CM",Q,2/2/2021 10:22:34 AM
ICON,"Iconix Brand Group, Inc.",Q,2/2/2021 10:24:45 AM
LITE,Lumentum Hlds Common Stk,Q,2/2/2021 10:27:01 AM
KLDO,"Kaleido Biosciences, Inc. Cmn",Q,2/2/2021 10:29:14 AM
APPN,Appian Corporation Cl A Cmn,Q,2/2/2021 10:29:16 AM
FORD,Forward Industries Inc,R,2/2/2021 10:32:04 AM
WAFU,Wah Fu Education Group Ltd Ord,R,2/2/2021 10:34:23 AM
LLIT,Lianluo Smart Limited Cl A Cmn,R,2/2/2021 10:35:43 AM
CATB,Catabasis Pharmac,Q,2/2/2021 10:39:40 AM
FSRVU,FinServ Acquisition Corp.UT,R,2/2/2021 10:39:45 AM
TBLT,ToughBuilt Ind Common Stock,R,2/2/2021 10:40:16 AM
OBLN,Obalon Therapeutics Cmn,R,2/2/2021 10:45:04 AM
PSACW,Property Solutions Acq WT,R,2/2/2021 10:46:13 AM
PLL,Piedmont Lithium Limited ADS,R,2/2/2021 10:46:43 AM
HMCOW,HumanCo Acquisition Corp.,R,2/2/2021 10:52:28 AM
EZGO,EZGO Technologies Ltd. Or Sh,R,2/2/2021 10:53:56 AM
CUEN,"Cuentas, Inc. Cmn Stk",R,2/2/2021 10:55:00 AM
PGEN,"Precigen, Inc. Common Stock",Q,2/2/2021 10:58:24 AM
TRHC,Tabula Rasa Health Care CM,Q,2/2/2021 10:58:44 AM
OXBR,Oxbridge Re Hldgs Ord Shares,R,2/2/2021 11:00:25 AM
LACQW,Leisure Acquisition Corp. Wt,R,2/2/2021 11:01:37 AM
ADVWW,Advantage Solutions Wts,Q,2/2/2021 11:06:46 AM
OTLKW,Outlook Therapeutics Ser A Wt,R,2/2/2021 11:08:21 AM
KSMTW,Kismet Acquisition One Corp WT,R,2/2/2021 11:08:34 AM
RVPHW,Reviva Pharma Hldgs Wts ,R,2/2/2021 11:12:08 AM
CVLB,"Conversion Labs, Inc.",R,2/2/2021 11:14:24 AM
BBQ,"BBQ Holdings, Inc. ",Q,2/2/2021 11:16:05 AM
MLACW,Malacca Straits Acquisition Co,R,2/2/2021 11:18:04 AM
DTEA,DAVIDsTEA Inc. Cm St,Q,2/2/2021 11:43:56 AM
OTRK,"Ontrak, Inc. Common Stock",Q,2/2/2021 11:54:02 AM
FLMNW,Falcon Minerals Cp Wt,R,2/2/2021 12:06:11 PM
AIRT,Air T Inc,Q,2/2/2021 12:30:33 PM
FIZZ,National Beverage Corp,Q,2/2/2021 12:40:01 PM
PT,Pintec Technology Hldg Ltd ADS,Q,2/2/2021 12:43:10 PM
WNW,Wunong Net Technology Company,R,2/2/2021 12:44:16 PM
CLXT,"Calyxt, Inc. CM",Q,2/2/2021 12:56:26 PM
ABCL,AbCellera Biologics Inc.,Q,2/2/2021 1:02:48 PM
PXSAP,Pyxis Tnkr 7.75 Ser A Pref Shr,R,2/2/2021 1:11:58 PM
CAPAW,HighCape Capital Acq WT,R,2/2/2021 1:22:10 PM
STRT,STRATTEC SECURITY CORPORATION,Q,2/2/2021 1:29:02 PM
EDRY,EuroDry Ltd. ,R,2/2/2021 1:41:40 PM
ALGS,"Aligos Therapeutics, Cmn Stk",Q,2/2/2021 1:49:40 PM
ATNFW,180 Life Sciences Cp Wts,R,2/2/2021 1:53:15 PM
USWSW,"U.S. Well Services, Inc. Wts",R,2/2/2021 2:14:30 PM
METXW,Meten EdtechX Warrants,R,2/2/2021 2:23:30 PM
AMCX,AMC Networks Inc. Cl A,Q,2/2/2021 3:17:22 PM
APOPW,Cellect Biotechnology Ltd. WT,R,2/2/2021 3:37:49 PM
DFHTW,Deerfield Healthcare Tech WT,R,2/2/2021 3:38:34 PM
SNGXW,"Soligenix, Inc. Wt",R,2/2/2021 3:50:24 PM
HFEN,HF Enterprises Inc.,R,2/2/2021 3:59:47 PM
20210202163043
